idLog,idPersona,zona1,zona2,zona3,zona4
497,1,0,0,2.05,0.55
498,6,0,0,0.27,1.07
499,8,0,0,0.85,0
500,4,0,0,0,1.47
501,1,0,0,2.07,0.55
502,6,0,0,0.27,1.08
503,8,0,0,0.87,0
504,4,0,0,0,1.48
505,1,0,0,2.09,0.55
506,6,0,0,0.27,1.1
507,8,0,0,0.88,0
508,4,0,0,0,1.5
509,1,0,0,2.1,0.55
510,6,0,0,0.27,1.12
511,8,0,0,0.9,0
512,4,0,0,0,1.52
513,1,0,0,2.12,0.55
514,6,0,0,0.27,1.13
515,8,0,0,0.92,0
516,4,0,0,0,1.53
517,1,0,0,2.14,0.55
518,6,0,0,0.27,1.15
519,8,0,0,0.93,0
520,4,0,0,0,1.55
521,1,0,0,2.15,0.55
522,6,0,0,0.27,1.17
523,8,0,0,0.95,0
524,4,0,0,0,1.57
525,1,0,0,2.17,0.55
526,6,0,0,0.27,1.18
527,8,0,0,0.97,0
528,4,0,0,0,1.58
529,1,0,0,2.19,0.55
530,6,0,0,0.27,1.2
531,8,0,0,0.98,0
532,4,0,0,0,1.6
533,1,0,0,2.2,0.55
534,6,0,0,0.27,1.22
535,8,0,0,1.0,0
536,4,0,0,0,1.62
537,1,0,0,2.22,0.55
538,6,0,0,0.27,1.23
539,8,0,0,1.02,0
540,4,0,0,0,1.63
541,1,0,0,2.24,0.55
542,6,0,0,0.27,1.25
543,8,0,0,1.03,0
544,4,0,0,0,1.65
545,1,0,0,2.25,0.55
546,6,0,0,0.27,1.27
547,8,0,0,1.05,0
548,4,0,0,0,1.67
549,1,0,0,2.27,0.55
550,6,0,0,0.27,1.28
551,8,0,0,1.07,0
552,4,0,0,0,1.69
553,1,0,0,2.29,0.55
554,6,0,0,0.27,1.3
555,8,0,0,1.08,0
556,4,0,0,0,1.7
557,1,0,0,2.3,0.55
558,6,0,0,0.27,1.32
559,8,0,0,1.1,0
560,4,0,0,0,1.72
561,1,0,0,2.32,0.55
562,6,0,0,0.27,1.33
563,8,0,0,1.12,0
564,4,0,0,0,1.74
565,1,0,0,2.34,0.55
566,6,0,0,0.27,1.35
567,8,0,0,1.13,0
568,4,0,0,0,1.75
569,1,0,0,2.35,0.55
570,6,0,0,0.27,1.37
571,8,0,0,1.15,0
572,4,0,0,0,1.77
573,1,0,0,2.37,0.55
574,6,0,0,0.27,1.38
575,8,0,0,1.17,0
576,4,0,0,0,1.79
577,1,0,0,2.39,0.55
578,6,0,0,0.27,1.4
579,8,0,0,1.18,0
580,4,0,0,0,1.8
581,1,0,0,2.4,0.55
582,6,0,0,0.27,1.42
583,8,0,0,1.2,0
584,4,0,0,0,1.82
585,1,0,0,2.42,0.55
586,6,0,0,0.27,1.43
587,8,0,0,1.22,0
588,4,0,0,0,1.84
589,1,0,0,2.44,0.55
590,6,0,0,0.27,1.45
591,8,0,0,1.23,0
592,4,0,0,0,1.85
593,1,0,0,2.45,0.55
594,6,0,0,0.27,1.47
595,8,0,0,1.25,0
596,4,0,0,0,1.87
597,1,0,0,2.47,0.55
598,6,0,0,0.27,1.48
599,8,0,0,1.27,0
600,4,0,0,0,1.89
601,1,0,0,2.49,0.55
602,6,0,0,0.27,1.5
603,8,0,0,1.28,0
604,4,0,0,0,1.9
605,1,0,0,2.5,0.55
606,6,0,0,0.27,1.52
607,8,0,0,1.3,0
608,4,0,0,0,1.92
609,1,0,0,2.52,0.55
610,6,0,0,0.27,1.53
611,8,0,0,1.32,0
612,4,0,0,0,1.94
613,1,0,0,2.54,0.55
614,6,0,0,0.27,1.55
615,8,0,0,1.32,0.02
616,4,0,0,0,1.95
617,1,0,0,2.55,0.55
618,6,0,0,0.27,1.57
619,8,0,0,1.32,0.03
620,4,0,0,0,1.97
621,1,0,0,2.57,0.55
622,6,0,0,0.27,1.58
623,8,0,0,1.32,0.05
624,4,0,0,0,1.99
625,1,0,0,2.59,0.55
626,6,0,0,0.27,1.6
627,8,0,0,1.32,0.07
628,4,0,0,0,2.0
629,1,0,0,2.6,0.55
630,6,0,0,0.27,1.62
631,8,0,0,1.32,0.08
632,4,0,0,0,2.02
633,1,0,0,2.62,0.55
634,6,0,0,0.27,1.63
635,8,0,0,1.32,0.1
636,4,0,0,0,2.04
637,1,0,0,2.64,0.55
638,6,0,0,0.27,1.65
639,8,0,0,1.32,0.12
640,1,0,0,2.65,0.55
641,6,0,0,0.27,1.67
642,8,0,0,1.32,0.13
643,1,0,0,2.67,0.55
644,6,0,0,0.27,1.69
645,8,0,0,1.32,0.15
646,1,0,0,2.69,0.55
647,6,0,0,0.27,1.7
648,8,0,0,1.32,0.17
649,1,0,0,2.7,0.55
650,6,0,0,0.27,1.72
651,8,0,0,1.32,0.18
652,1,0,0,2.72,0.55
653,6,0,0,0.27,1.74
654,8,0,0,1.32,0.2
655,1,0,0,2.74,0.55
656,6,0,0,0.27,1.75
657,8,0,0,1.32,0.22
658,1,0,0,2.75,0.55
659,6,0,0,0.27,1.77
660,8,0,0,1.32,0.23
661,1,0,0,2.77,0.55
662,6,0,0,0.27,1.79
663,8,0,0,1.32,0.25
664,1,0,0,2.79,0.55
665,6,0,0,0.27,1.8
666,8,0,0,1.32,0.27
667,1,0,0,2.8,0.55
668,6,0,0,0.27,1.82
669,8,0,0,1.32,0.28
670,1,0,0,2.82,0.55
671,6,0,0,0.27,1.84
672,8,0,0,1.32,0.3
673,1,0,0,2.84,0.55
674,6,0,0,0.27,1.85
675,8,0,0,1.32,0.32
676,1,0,0,2.85,0.55
677,6,0,0,0.27,1.87
678,8,0,0,1.32,0.33
679,1,0,0,2.87,0.55
680,6,0,0,0.27,1.89
681,8,0,0,1.32,0.35
682,1,0,0,2.89,0.55
683,6,0,0,0.27,1.9
684,8,0,0,1.32,0.37
685,1,0,0,2.9,0.55
686,6,0,0,0.27,1.92
687,8,0,0,1.32,0.38
688,1,0,0,2.92,0.55
689,6,0,0,0.27,1.94
690,8,0,0,1.32,0.4
691,1,0,0,2.94,0.55
692,6,0,0,0.27,1.95
693,8,0,0,1.32,0.42
694,1,0,0,2.95,0.55
695,6,0,0,0.27,1.97
696,8,0,0,1.32,0.43
697,1,0,0,2.97,0.55
698,6,0,0,0.27,1.99
699,8,0,0,1.32,0.45
700,1,0,0,2.99,0.55
701,6,0,0,0.27,2.0
702,8,0,0,1.32,0.47
703,1,0,0,3.0,0.55
704,6,0,0,0.27,2.02
705,8,0,0,1.32,0.48
706,1,0,0,3.02,0.55
707,6,0,0,0.27,2.04
708,8,0,0,1.32,0.5
709,1,0,0,3.04,0.55
710,6,0,0,0.27,2.05
711,8,0,0,1.32,0.52
712,1,0,0,3.05,0.55
713,6,0,0,0.27,2.07
714,8,0,0,1.32,0.53
715,1,0,0,3.07,0.55
716,6,0,0,0.27,2.09
717,8,0,0,1.32,0.55
718,1,0,0,3.09,0.55
719,6,0,0,0.27,2.1
720,8,0,0,1.32,0.57
721,1,0,0,3.1,0.55
722,6,0,0,0.27,2.12
723,8,0,0,1.32,0.58
724,1,0,0,3.12,0.55
725,6,0,0,0.27,2.14
726,8,0,0,1.32,0.6
727,1,0,0,3.14,0.55
728,6,0,0,0.27,2.15
729,8,0,0,1.32,0.62
730,1,0,0,3.15,0.55
731,6,0,0,0.27,2.17
732,8,0,0,1.32,0.63
733,1,0,0,3.17,0.55
734,6,0,0,0.27,2.19
735,8,0,0,1.32,0.65
736,1,0,0,3.19,0.55
737,6,0,0,0.27,2.2
738,8,0,0,1.32,0.67
739,1,0,0,3.2,0.55
740,6,0,0,0.27,2.22
741,8,0,0,1.32,0.68
742,1,0,0,3.22,0.55
743,6,0,0,0.27,2.24
744,8,0,0,1.32,0.7
745,1,0,0,3.24,0.55
746,6,0,0,0.27,2.25
747,8,0,0,1.32,0.72
748,1,0,0,3.25,0.55
749,6,0,0,0.27,2.27
750,8,0,0,1.32,0.73
751,1,0,0,3.27,0.55
752,6,0,0,0.27,2.29
753,4,0,0,0,2.05
754,1,0,0,3.29,0.55
755,6,0,0,0.27,2.3
756,4,0,0,0,2.07
757,1,0,0,3.3,0.55
758,6,0,0,0.27,2.32
759,4,0,0,0,2.09
760,1,0,0,3.32,0.55
761,6,0,0,0.27,2.34
762,4,0,0,0,2.1
763,1,0,0,3.34,0.55
764,6,0,0,0.27,2.35
765,1,0,0,3.35,0.55
766,6,0,0,0.27,2.37
767,1,0,0,3.37,0.55
768,6,0,0,0.27,2.39
769,1,0,0,3.39,0.55
770,6,0,0,0.27,2.4
771,1,0,0,3.4,0.55
772,6,0,0,0.27,2.42
773,1,0,0,3.42,0.55
774,6,0,0,0.27,2.44
775,1,0,0,3.44,0.55
776,6,0,0,0.27,2.45
777,8,0,0,1.32,0.75
778,1,0,0,3.45,0.55
779,6,0,0,0.27,2.47
780,8,0,0,1.32,0.77
781,1,0,0,3.47,0.55
782,6,0,0,0.28,2.47
783,8,0,0,1.32,0.78
784,6,0,0,0.3,2.47
785,8,0,0,1.32,0.8
786,6,0,0,0.32,2.47
787,8,0,0,1.32,0.82
788,6,0,0,0.33,2.47
789,8,0,0,1.32,0.83
790,6,0,0,0.35,2.47
791,8,0,0,1.32,0.85
792,6,0,0,0.37,2.47
793,8,0,0,1.32,0.87
794,1,0,0,3.49,0.55
795,6,0,0,0.38,2.47
796,8,0,0,1.32,0.88
797,1,0,0,3.5,0.55
798,6,0,0,0.4,2.47
799,8,0,0,1.32,0.9
800,1,0,0,3.52,0.55
801,4,0,0,0,2.12
802,6,0,0,0.42,2.47
803,8,0,0,1.32,0.92
804,1,0,0,3.54,0.55
805,4,0,0,0,2.14
806,6,0,0,0.43,2.47
807,8,0,0,1.32,0.93
808,1,0,0,3.55,0.55
809,4,0,0,0,2.15
810,6,0,0,0.45,2.47
811,8,0,0,1.32,0.95
812,1,0,0,3.55,0.57
813,4,0,0,0,2.17
814,6,0,0,0.47,2.47
815,8,0,0,1.32,0.97
816,1,0,0,3.55,0.58
817,4,0,0,0,2.19
818,6,0,0,0.48,2.47
819,8,0,0,1.32,0.98
820,1,0,0,3.55,0.6
821,4,0,0,0,2.2
822,6,0,0,0.5,2.47
823,8,0,0,1.32,1.0
824,1,0,0,3.55,0.62
825,4,0,0,0,2.22
826,6,0,0,0.52,2.47
827,8,0,0,1.32,1.02
828,1,0,0,3.55,0.63
829,4,0,0,0,2.24
830,6,0,0,0.53,2.47
831,8,0,0,1.32,1.03
832,1,0,0,3.55,0.65
833,4,0,0,0,2.25
834,6,0,0,0.55,2.47
835,8,0,0,1.32,1.05
836,1,0,0,3.55,0.67
837,4,0,0,0,2.27
838,6,0,0,0.57,2.47
839,8,0,0,1.32,1.07
840,1,0,0,3.55,0.68
841,4,0,0,0,2.29
842,6,0,0,0.58,2.47
843,8,0,0,1.32,1.08
844,1,0,0,3.55,0.7
845,4,0,0,0,2.3
846,6,0,0,0.6,2.47
847,8,0,0,1.32,1.1
848,1,0,0,3.55,0.72
849,4,0,0,0,2.32
850,6,0,0,0.62,2.47
851,8,0,0,1.32,1.12
852,1,0,0,3.55,0.73
853,4,0,0,0,2.34
854,6,0,0,0.63,2.47
855,8,0,0,1.32,1.13
856,1,0,0,3.55,0.75
857,4,0,0,0,2.35
858,6,0,0,0.65,2.47
859,8,0,0,1.32,1.15
860,1,0,0,3.55,0.77
861,4,0,0,0,2.37
862,6,0,0,0.67,2.47
863,8,0,0,1.32,1.17
864,1,0,0,3.55,0.78
865,4,0,0,0,2.39
866,6,0,0,0.68,2.47
867,8,0,0,1.32,1.18
868,1,0,0,3.55,0.8
869,4,0,0,0,2.4
870,6,0,0,0.7,2.47
871,8,0,0,1.32,1.2
872,1,0,0,3.55,0.82
873,4,0,0,0,2.42
874,6,0,0,0.72,2.47
875,8,0,0,1.32,1.22
876,1,0,0,3.55,0.83
877,4,0,0,0,2.44
878,6,0,0,0.73,2.47
879,8,0,0,1.32,1.23
880,1,0,0,3.55,0.85
881,4,0,0,0,2.45
882,6,0,0,0.75,2.47
883,8,0,0,1.32,1.25
884,1,0,0,3.55,0.87
885,4,0,0,0,2.47
886,6,0,0,0.77,2.47
887,8,0,0,1.32,1.27
888,1,0,0,3.55,0.88
889,4,0,0,0,2.49
890,6,0,0,0.78,2.47
891,8,0,0,1.32,1.28
892,1,0,0,3.55,0.9
893,4,0,0,0,2.5
894,6,0,0,0.8,2.47
895,8,0,0,1.32,1.3
896,1,0,0,3.55,0.92
897,4,0,0,0,2.52
898,6,0,0,0.82,2.47
899,8,0,0,1.32,1.32
900,1,0,0,3.55,0.93
901,4,0,0,0,2.54
902,6,0,0,0.83,2.47
903,8,0,0,1.32,1.33
904,1,0,0,3.55,0.95
905,4,0,0,0,2.55
906,6,0,0,0.85,2.47
907,8,0,0,1.32,1.35
908,1,0,0,3.55,0.97
909,4,0,0,0,2.57
910,6,0,0,0.87,2.47
911,8,0,0,1.32,1.37
912,1,0,0,3.55,0.98
913,4,0,0,0,2.59
914,6,0,0,0.88,2.47
915,8,0,0,1.32,1.38
916,1,0,0,3.55,1.0
917,4,0,0,0,2.6
918,6,0,0,0.9,2.47
